,Nombre,Direccion,Coordenadas,latitud,longitud
180,Restaurante Quique Dacosta,"Carrer Rascassa, 1","{'type': 'Point', 'coordinates': [4.8851566, 44.0419216]}",44.0419216,4.8851566
181,Restaurante Akelarre,"Paseo Padre Orkolaga, 56. 20008 San Sebastián (Gipuzkoa)","{'type': 'Point', 'coordinates': [-2.0431538, 43.3077826]}",43.3077826,-2.0431538
182,Restaurante Elkano,"Calle Herrerieta, 2 20808 Getaria (Gipuzkoa)","{'type': 'Point', 'coordinates': [-2.2050624, 43.3030425]}",43.3030425,-2.2050624
183,Restaurante Mugaritz,"Aldura Gunea Aldea, 20, 20100 Errenteria, Gipuzkoa, España","{'type': 'Point', 'coordinates': [-1.8976476, 43.2699797]}",43.2699797,-1.8976476
184,Restaurante Arzak,"Avenida Alcalde José Elosegui, 273  (San Sebastián)","{'type': 'Point', 'coordinates': [-1.9530597, 43.321489]}",43.321489,-1.9530597
185,Restaurante Bagá,"Calle Reja de la Capilla, 3. 23001 Jaén (Jaén)","{'type': 'Point', 'coordinates': [-3.7862887, 37.7668497]}",37.7668497,-3.7862887
186,Restaurante Zuberoa,"Araneder Bidea, 20180 Iturriotz, Gipuzkoa","{'type': 'Point', 'coordinates': [-1.8650503, 43.2928867]}",43.2928867,-1.8650503
187,Restaurante Lú Cocina y Alma,"Calle Zaragoza, 2. 11402 Jerez de la Frontera (Cádiz)","{'type': 'Point', 'coordinates': [-6.1333267, 36.688668]}",36.688668,-6.1333267
188,Restaurante Sollo,"Avenida El Higuerón, 48 29640 Fuengirola (Málaga)","{'type': 'Point', 'coordinates': [-4.5954309, 36.5800831]}",36.5800831,-4.5954309
189,Restaurante Los Marinos José,"Paseo Marítimo Rey de España, 161. 29640 Fuengirola (Málaga)","{'type': 'Point', 'coordinates': [-4.6181456, 36.5441549]}",36.5441549,-4.6181456
190,Restaurante El Campero,"Avenida de la Constitución, 5-C. Barbate (Cádiz). 11160","{'type': 'Point', 'coordinates': [-5.9247296, 36.1886762]}",36.1886762,-5.9247296
191,Restaurante Kazan,"Paseo Milicias de Garachico, 1 38003 Santa Cruz de Tenerife","{'type': 'Point', 'coordinates': [-16.2488412, 28.4684553]}",28.4684553,-16.2488412
192,Restaurante Novodabo,"Plaza Aragón, 12, 50004 Zaragoza, España","{'type': 'Point', 'coordinates': [-0.8850064, 41.6488174]}",41.6488174,-0.8850064
193,Restaurante Casona del Judío,"Calle Repuente, 20 39012 Santander (Cantabria)","{'type': 'Point', 'coordinates': [-3.8291356, 43.4686352]}",43.4686352,-3.8291356
194,Restaurante Gastronomico Cañadío,"Calle Gómez Oreña, 15 39003 Santander (Cantabria)","{'type': 'Point', 'coordinates': [-3.8019086, 43.463661]}",43.463661,-3.8019086
195,Restaurante Solana,"Calle La Bien Aparecida, 11 39849 Ampuero (Cantabria)","{'type': 'Point', 'coordinates': [-3.4514017785, 43.326925]}",43.326925,-3.4514017785
196,Restaurante El Doncel,"Paseo de la Alameda, 3. 19250 Sigüenza (Guadalajara)","{'type': 'Point', 'coordinates': [-2.6434055, 41.069502]}",41.069502,-2.6434055
197,Restaurante El Bohío,"Avenida de Castilla - La Mancha, 81. 45200 Illescas (Toledo)","{'type': 'Point', 'coordinates': [-3.8445015, 40.1288269]}",40.1288269,-3.8445015
198,Restaurante Baluarte,"Calle Caballeros, 14. 42002 Soria","{'type': 'Point', 'coordinates': [-2.4655069, 41.7623923]}",41.7623923,-2.4655069
